Latitude,Longitude,City,Country,blurb,transportation,accommodations_hotels,accommodations_hostels,restaurants,evenings_bars,evenings_nightlife,evenings_weekly,tourscore,accommodations_popup,transportation_popup,restaurants_popup,evenings_popup,blogs,slides
-23.5504,-46.6339,São Paulo,Brazil,,,,,,,,,,,,,,,
37.5667,126.9833,Seoul,"Korea, South",,,,,,,,,,,,,,,
22.5675,88.37,Kolkāta,India,,,,,,,,,,,,,,,
40.6943,-73.9249,New York,United States,,,,,,,,,,,,,,,
34.6939,135.5022,Ōsaka,Japan,,,,,,,,,,,,,,,
-4.3219,15.3119,Kinshasa,Congo (Kinshasa),,,,,,,,,,,,,,,
34.2611,108.9422,Xi’an,China,,,,,,,,,,,,,,,
35.1038,118.3564,Linyi,China,,,,,,,,,,,,,,,
17.3617,78.4747,Hyderābād,India,,,,,,,,,,,,,,,
32.9902,112.5285,Nanyang,China,,,,,,,,,,,,,,,
34.261,117.1859,Tongshan,China,,,,,,,,,,,,,,,
35.4151,116.5871,Jining,China,,,,,,,,,,,,,,,
4.7111,-74.0722,Bogotá,Colombia,,,,,,,,,,,,,,,
38.3047,116.8387,Cangzhou,China,,,,,,,,,,,,,,,
16.795,96.16,Rangoon,Burma,,,,,,,,,,,,,,,
33.35,120.1569,Yancheng,China,,,,,,,,,,,,,,,
21.205,72.84,Sūrat,India,,,,,,,,,,,,,,,
25.784,-80.2101,Miami,United States,,,,,,,,,,,,,,,
25.4358,81.8464,Prayagraj,India,,,,,,,,,,,,,,,
30.4537,114.8724,Huanggang,China,,,,,,,,,,,,,,,
22.654,110.181,Yulin,China,,,,,,,,,,,,,,,
35.3036,113.9268,Nangandao,China,,,,,,,,,,,,,,,
36.6702,117.0207,Jinan,China,,,,,,,,,,,,,,,
29.987,31.2118,Giza,Egypt,,,,,,,,,,,,,,,
36.202,117.087,Tai’an,China,,,,,,,,,,,,,,,
33.7628,-84.422,Atlanta,United States,,,,,,,,,,,,,,,
31.2347,121.5064,Pudong,China,,,,,,,,,,,,,,,
27.338,103.717,Zhaotong,China,,,,,,,,,,,,,,,
